bid_id,ad_id,user_id,bid_amount,bid_time
1,15,10,141920370.57,2024-03-23 15:17:12.786761
2,3,8,196619677.71,2024-01-20 11:53:24.991832
3,8,7,84568728.06,2024-02-09 19:07:11.451632
4,5,2,161243163.87,2024-03-16 12:01:52.872707
5,12,1,235707884.76,2024-02-01 18:53:34.092601
6,1,2,170532128.17,2024-03-31 11:23:21.356913
7,6,3,272866188.68,2024-06-20 15:01:34.464552
8,9,7,274730852.9,2024-05-15 23:14:10.737967
9,14,9,279526240.4,2024-08-09 09:55:46.330944
10,8,7,157932749.54,2024-07-30 06:47:23.982816
11,2,8,69599532.24,2024-01-28 15:52:47.394711
12,3,4,273217373.3,2024-06-26 08:31:06.524620
13,10,2,75518107.2,2024-06-11 06:44:09.142779
14,5,6,168318750.3,2024-08-10 01:37:27.783080
15,14,5,206191723.95,2024-01-08 08:31:15.475199
16,2,9,92854275.14,2024-05-23 09:37:34.834938
17,9,10,87928441.43,2024-06-06 15:16:52.927320
18,11,4,223955878.34,2024-03-09 09:02:04.313595
19,2,1,153267306.46,2024-07-31 15:06:58.765248
20,15,1,165184743.47,2024-04-11 18:19:47.848502
